,Compounds,CT-179_Resist_vs_Sens_logFC,AveExpr,t,P.Value,adj.P.Val,B,CT-179_mRCC,Group_num,Combination_Index
333,glycitein,-0.003941235,-0.010454307,-4.661048906,3.15E-06,4.30E-06,1.537917882,-0.007073997,447,2.79E-05
334,fluticasone.propionate,-0.017284952,0.000532641,-18.81148319,1.09E-78,5.49E-78,167.021381,-0.001610234,654,2.78E-05
335,linopirdine,-0.00687222,-0.004001644,-8.863837032,7.96E-19,1.48E-18,29.93074686,-0.004037118,550,2.77E-05
336,loperamide,-0.002696942,-0.013024006,-3.211949921,0.001319152,0.001596382,-4.164412511,-0.0102122,352,2.75E-05
337,PF.03814735,-0.005347106,0.008096271,-3.460287096,0.00054002,0.000662795,-3.336152154,-0.00512198,505,2.74E-05
338,DPI.201106,-0.004861577,-0.006504467,-5.890519029,3.87E-09,5.79E-09,8.020533619,-0.005614888,494,2.73E-05
339,protirelin,-0.011082304,-0.005367873,-13.91413509,6.20E-44,1.85E-43,87.29930288,-0.002384305,628,2.64E-05
340,rosuvastatin,-0.00553779,-0.014124857,-5.65173439,1.60E-08,2.35E-08,6.643416495,-0.004719396,524,2.61E-05
341,ambrisentan,-0.011027752,0.005268481,-11.13366814,9.25E-29,2.12E-28,52.5820342,-0.002309519,633,2.55E-05
342,teriflunomide,-0.005254138,-0.011059786,-7.442760623,1.00E-13,1.65E-13,18.3594532,-0.00465534,528,2.45E-05
343,phenylacetylglutamine,-0.005332748,-0.01488092,-5.869489251,4.40E-09,6.55E-09,7.896965614,-0.004532847,531,2.42E-05
344,BVD.523,-0.005827539,-0.016807533,-5.37688101,7.61E-08,1.09E-07,5.128741629,-0.004084639,546,2.38E-05
345,trimetazidine,-0.008701431,0.000396004,-11.32744385,1.04E-29,2.43E-29,54.75299896,-0.002721758,610,2.37E-05
346,quinapril,-0.00363262,-0.017898747,-3.975494677,7.03E-05,9.08E-05,-1.421277708,-0.00629472,465,2.29E-05
347,cobimetinib,-0.016901627,0.001774348,-11.37695622,5.90E-30,1.39E-29,55.31369023,-0.001338151,663,2.26E-05
348,epitiostanol,-0.00309004,-0.010883881,-3.293732923,0.000989305,0.001203538,-3.898453829,-0.007260771,442,2.24E-05
349,MDL.73005EF,-0.006161321,0.005760497,-7.738758169,1.02E-14,1.72E-14,20.60374912,-0.003541122,577,2.18E-05
350,safingol,-0.004562546,0.001068853,-6.264243984,3.77E-10,5.77E-10,10.29010007,-0.004702714,525,2.15E-05
351,sarcosine,-0.016215344,-0.004929517,-19.4105203,1.22E-83,6.54E-83,178.3913224,-0.00132117,665,2.14E-05
352,lidocaine,-0.006177773,-0.00581873,-6.883382879,5.91E-12,9.40E-12,14.35667119,-0.003441315,582,2.13E-05
353,molindone,-0.00355882,-0.004900745,-4.466704727,7.96E-06,1.07E-05,0.651353002,-0.005839136,484,2.08E-05
354,guanaben.acetate,-0.014159666,-0.004755762,-17.31351591,5.67E-67,2.42E-66,140.1300959,-0.001466356,657,2.08E-05
355,rilpivirine,-0.012166559,-0.002302971,-13.21566047,8.23E-40,2.32E-39,77.85759998,-0.001692986,649,2.06E-05
356,SCH.28080,-0.005109118,-0.010633623,-5.005457188,5.59E-07,7.83E-07,3.201704028,-0.003907005,558,2.00E-05
357,ABT.239,-0.008222252,-0.001576918,-9.543952195,1.43E-21,2.78E-21,36.18018065,-0.002362202,630,1.94E-05
358,ZD.7114,-0.002400055,-0.005460283,-2.762863527,0.005731627,0.006758625,-5.505711261,-0.007793582,424,1.87E-05
359,oxfendazole,-0.003212651,-0.005486165,-3.79896313,0.000145463,0.000183589,-2.107261561,-0.005717775,491,1.84E-05
360,menadione,-0.021850399,-0.009186927,-25.99045759,5.28E-148,7.30E-147,326.2972267,-0.000839083,682,1.83E-05
361,duloxetine,-0.006971851,-0.015254859,-6.724328401,1.78E-11,2.80E-11,13.275487,-0.002580639,619,1.80E-05
362,dexamethasone,-0.001898849,-0.004663062,-2.452964299,0.014171605,0.016430502,-6.313750492,-0.008981275,383,1.71E-05
363,EMD.1214063,-0.002961998,0.010120287,-2.901746047,0.003712404,0.004415269,-5.112436085,-0.00574801,488,1.70E-05
364,nicergoline,-0.010921583,-0.01909217,-10.68905239,1.22E-26,2.63E-26,47.74172837,-0.001553258,656,1.70E-05
365,gemfibrozil,-0.017702098,-0.012147657,-19.72044691,2.92E-86,1.65E-85,184.4117791,-0.00086938,679,1.54E-05
366,primaquine,-0.003138488,0.007012342,-3.332451297,0.000861428,0.001050745,-3.770210243,-0.004849727,515,1.52E-05
367,tacrolimus,-0.001938927,-0.000739917,-2.403667652,0.016234899,0.018775423,-6.433437995,-0.007725073,428,1.50E-05
368,ozagrel,-0.023737422,0.001411941,-28.69853396,9.22E-180,1.68E-178,399.3215825,-0.000629403,686,1.49E-05
369,estriol,-0.002306766,0.006132784,-2.542307845,0.011015105,0.012846308,-6.090642161,-0.006268432,469,1.45E-05
370,lenvatinib,-0.005014182,-0.000564887,-5.540936597,3.02E-08,4.40E-08,6.023754396,-0.00284238,606,1.43E-05
371,PF.04457845,-0.002251482,0.013230705,-2.111041862,0.034773336,0.039585461,-7.093895638,-0.006150937,474,1.38E-05
372,proguanil,-0.005369831,0.002648433,-6.617983238,3.68E-11,5.75E-11,12.5666734,-0.002576848,620,1.38E-05
373,clenbuterol,-0.00247947,-0.010392383,-3.024036023,0.002495448,0.002983313,-4.750185272,-0.005504074,495,1.36E-05
374,sotalol,-0.026192433,0.006871059,-29.7357389,9.89E-193,2.13E-191,429.1482665,-0.000515445,688,1.35E-05
375,lomerizine,-0.00574256,-0.000981024,-5.749547968,9.00E-09,1.33E-08,7.200645077,-0.002329356,632,1.34E-05
376,isradipine,-0.013474774,0.010326752,-16.00997469,1.48E-57,5.58E-57,118.5243118,-0.000989197,674,1.33E-05
377,mepyramine,-0.01776462,-0.010798835,-20.95369569,4.27E-97,2.83E-96,209.2985401,-0.000711742,684,1.26E-05
378,palomid.529,-0.003465764,0.009630995,-3.66007977,0.000252379,0.00031479,-2.625064534,-0.003625227,572,1.26E-05
379,methimazole,-0.004211239,-0.009752017,-4.634615392,3.58E-06,4.88E-06,1.415116226,-0.002972667,599,1.25E-05
380,NVP.DPP728,-0.002962928,-0.002867714,-3.921607541,8.81E-05,0.000113116,-1.633979171,-0.004131013,544,1.22E-05
381,PF.02545920,-0.003591626,-0.008570609,-3.864509593,0.000111444,0.000141839,-1.856188647,-0.003382843,584,1.21E-05
382,dienogest,-0.002074319,-0.002985846,-2.455721794,0.014063349,0.016318681,-6.306983818,-0.005825944,485,1.21E-05
383,orteronel,-0.00599598,-0.002101278,-7.010205836,2.41E-12,3.86E-12,15.23683823,-0.001996195,641,1.20E-05
384,mestinon,-0.012435762,-0.003804885,-14.77548213,2.64E-49,8.60E-49,99.60708154,-0.000868639,680,1.08E-05
385,acifran,-0.010540407,-0.004613817,-11.55191174,7.85E-31,1.87E-30,57.31442504,-0.000862318,681,9.09E-06
386,semaxanib,-0.003242102,-0.00535653,-3.514772364,0.000440494,0.000543054,-3.146187667,-0.002787217,607,9.04E-06
387,clarithromycin,-0.002155111,-0.001391955,-2.703155491,0.006870627,0.008074156,-5.66886138,-0.004181231,540,9.01E-06
388,ranitidine,-0.002488145,-0.015275728,-2.404979259,0.016176755,0.018723849,-6.430284996,-0.003609321,573,8.98E-06
389,ciclesonide,-0.007992097,0.001340587,-8.03779935,9.33E-16,1.62E-15,22.95978944,-0.001113061,672,8.90E-06
390,tetrindole,-0.00185998,-0.012087351,-2.151596944,0.031433571,0.035931509,-7.007472301,-0.004756331,520,8.85E-06
391,3.deazaadenosine,-0.005211401,0.00584104,-5.641146427,1.70E-08,2.49E-08,6.583671339,-0.001450809,659,7.56E-06
392,alisertib,-0.032150081,-0.002189801,-24.48658773,1.09E-131,1.25E-130,288.790622,-0.00022892,698,7.36E-06
393,grazoprevir,-0.002298597,-0.001602882,-2.976644766,0.002915517,0.003479486,-4.892342781,-0.003158867,593,7.26E-06
394,adenosine,-0.007039149,0.004182444,-8.442885418,3.17E-17,5.68E-17,26.29340781,-0.000975505,675,6.87E-06
395,ftorafur,-0.002942905,-0.002509813,-4.319677231,1.57E-05,2.08E-05,0.005704507,-0.002047311,640,6.03E-06
396,aspirin,-0.006364954,0.009830922,-6.724433955,1.78E-11,2.80E-11,13.27619615,-0.000897845,677,5.71E-06
397,bambuterol,-0.010788298,-0.005310582,-12.52877484,5.84E-36,1.53E-35,69.04368094,-0.000485008,689,5.23E-06
398,adapalene,-0.001870677,-0.011206705,-2.085545689,0.037024518,0.042113485,-7.147386505,-0.002669837,615,4.99E-06
399,teroxirone,-0.006742087,-0.008948886,-7.945970822,1.96E-15,3.38E-15,22.22682457,-0.00071774,683,4.84E-06
400,VX.765,-0.020002579,-0.006415362,-23.2863014,2.40E-119,2.22E-118,260.4242183,-0.000208995,701,4.18E-06
